model,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred mRMR XGBoost - 300 features,0.56,0.8700095824404708,0.6993748920409373,0.9508777216752051,0.9864016216278446,0.9542923850574713,0.9134433556816228,0.8265758091993186,0.9334211682037769,2426,509,1007,10627
Mordred mRMR XGBoost - 300 features,0.57,0.871445982066896,0.6988778168091835,0.9508777216752051,0.9864016216278446,0.9555455365193868,0.9108647068935878,0.8320272572402044,0.9326703045238515,2442,493,1037,10597
Mordred mRMR XGBoost - 300 features,0.58,0.8721564210404855,0.6969433739688415,0.9508777216752051,0.9864016216278446,0.956529614200326,0.9078562833075469,0.8364565587734242,0.9315575939319104,2455,480,1072,10562
Mordred mRMR XGBoost - 300 features,0.59,0.8722268543208401,0.6938896200941829,0.9508777216752051,0.9864016216278446,0.9572494087684191,0.9045899948427024,0.8398637137989778,0.9301750044193036,2465,470,1110,10524
Mordred mRMR XGBoost - 300 features,0.6,0.8741727750331739,0.6940146178036412,0.9508777216752051,0.9864016216278446,0.9588665447897623,0.9016675262162627,0.8466780238500852,0.9293877912642864,2485,450,1144,10490
Mordred mRMR XGBoost - 300 features,0.61,0.874715960591335,0.6926782221249908,0.9508777216752051,0.9864016216278446,0.9596441346418417,0.8993467423070312,0.8500851788756388,0.9285175489195545,2495,440,1171,10463
Mordred mRMR XGBoost - 300 features,0.62,0.8759390249866821,0.692081254490263,0.9508777216752051,0.9864016216278446,0.9608547480887907,0.8966821385593948,0.8551959114139693,0.9276599528700369,2510,425,1202,10432
Mordred mRMR XGBoost - 300 features,0.63,0.8766525682961208,0.6910831705643108,0.9508777216752051,0.9864016216278446,0.9617339865052223,0.8943613546501633,0.8589437819420783,0.9268249231728499,2521,414,1229,10405
Mordred mRMR XGBoost - 300 features,0.64,0.8769777621194297,0.688590294855681,0.9508777216752051,0.9864016216278446,0.9626636946224575,0.8909231562661165,0.8630323679727427,0.9254051158430427,2533,402,1269,10365
Mordred mRMR XGBoost - 300 features,0.65,0.8780749984112244,0.6883273104293823,0.9508777216752051,0.9864016216278446,0.9637397464578673,0.8886883273164862,0.8674616695059625,0.9246936767730972,2546,389,1295,10339
Mordred mRMR XGBoost - 300 features,0.66,0.8785721021537355,0.686503233134829,0.9508777216752051,0.9864016216278446,0.9647003745318352,0.8855939487708441,0.8715502555366269,0.9234561261987989,2558,377,1331,10303
Mordred mRMR XGBoost - 300 features,0.67,0.8783893270590606,0.6840069195016322,0.9508777216752051,0.9864016216278446,0.9652288318767033,0.8828433900636067,0.8739352640545145,0.9221997755331088,2565,370,1363,10271
Mordred mRMR XGBoost - 300 features,0.68,0.8792286984720518,0.683076770368403,0.9508777216752051,0.9864016216278446,0.9663080407701019,0.8800928313563693,0.8783645655877342,0.9211875843454791,2578,357,1395,10239
Mordred mRMR XGBoost - 300 features,0.69,0.8795124669834846,0.6810398553047896,0.9508777216752051,0.9864016216278446,0.9671975729996208,0.876912497851126,0.8821124361158432,0.9198449193039401,2589,346,1432,10202
Mordred mRMR XGBoost - 300 features,0.7,0.8800525482057964,0.6795734849741822,0.9508777216752051,0.9864016216278446,0.9681935053804399,0.8739040742650851,0.8862010221465076,0.918635644906257,2601,334,1467,10167
Mordred mRMR XGBoost - 300 features,0.71,0.8796932066881451,0.6760116094834557,0.9508777216752051,0.9864016216278446,0.9689744326343005,0.869778236204229,0.8896081771720613,0.9167006386737329,2611,324,1515,10119
Mordred mRMR XGBoost - 300 features,0.72,0.8798910202399769,0.6739177535533399,0.9508777216752051,0.9864016216278446,0.9698835754834985,0.8664259927797834,0.8933560477001704,0.9152403867980207,2622,313,1554,10080
Mordred mRMR XGBoost - 300 features,0.73,0.8791050082601691,0.6697726861243378,0.9508777216752051,0.9864016216278446,0.9704886308659894,0.8621282447997249,0.8960817717206133,0.9131048295325231,2630,305,1604,10030
Mordred mRMR XGBoost - 300 features,0.74,0.878831621702119,0.6667157614976298,0.9508777216752051,0.9864016216278446,0.9713007101858158,0.8581743166580712,0.899488926746167,0.9112399032537764,2640,295,1650,9984
Mordred mRMR XGBoost - 300 features,0.75,0.8791490546858045,0.6638566348807684,0.9508777216752051,0.9864016216278446,0.9727504410899823,0.853017019082001,0.9052810902896081,0.9089576845576113,2657,278,1710,9924
Mordred mRMR XGBoost - 300 features,0.76,0.8789139891037812,0.6604605966452314,0.9508777216752051,0.9864016216278446,0.9738452427951046,0.8481175863847344,0.909710391822828,0.9066433887714784,2670,265,1767,9867
Mordred mRMR XGBoost - 300 features,0.77,0.879444757318545,0.6582264350616672,0.9508777216752051,0.9864016216278446,0.9754351069119841,0.8430462437682654,0.9158432708688246,0.9044215962008392,2688,247,1826,9808
Mordred mRMR XGBoost - 300 features,0.78,0.8781890973967801,0.6537231405378917,0.9508777216752051,0.9864016216278446,0.975890356142457,0.8384906309094035,0.9178875638841567,0.9019879796578826,2694,241,1879,9755
Mordred mRMR XGBoost - 300 features,0.79,0.8777391444157537,0.6500994310860079,0.9508777216752051,0.9864016216278446,0.9770184457211974,0.833161423414131,0.9223168654173765,0.8993736951983299,2707,228,1941,9693
Mordred mRMR XGBoost - 300 features,0.8,0.8761841943033094,0.6452029135104652,0.9508777216752051,0.9864016216278446,0.9773833671399594,0.8283479456764655,0.9240204429301533,0.8967153624267238,2712,223,1997,9637
Mordred mRMR XGBoost - 300 features,0.81,0.8754794807793289,0.6415074056128065,0.9508777216752051,0.9864016216278446,0.9783430381039943,0.8231906481003954,0.9277683134582624,0.8940857956401997,2723,212,2057,9577
