descriptor,jnk3_score_mutual_information,jnk3_score_rank,gsk3b_score_mutual_information,gsk3b_score_rank,mean_rank
GATS2d,0.06741374108939713,89.0,0.06754014993811452,89.0,89.0
AATS8v,0.07661345323619795,83.0,0.06177004433876743,96.0,89.5
AMID_C,0.07414449944056667,85.0,0.0603721332402527,97.0,91.0
PEOE_VSA8,0.07032726420030233,87.0,0.06386675451661805,95.0,91.0
AATS1Z,0.05846018828071298,99.0,0.07535558033742173,85.0,92.0
AATS4Z,0.056340911097169766,100.0,0.06962847342872625,87.0,93.5
SRW09,0.061831400306481044,97.0,0.06600624262321286,91.0,94.0
Xc-3dv,0.05923228944353731,98.0,0.06703487215570458,90.0,94.0
BCUTdv-1l,0.06480163285769702,94.0,0.05931777872820998,98.0,96.0
ETA_dPsi_A,0.06639116031403258,91.0,0.058265747455577,102.0,96.5
Radius,0.06636694418420364,92.0,0.057607088611273394,104.0,98.0
SlogP_VSA2,0.06257874894012883,96.0,0.05827833761395507,101.0,98.5
AATS1i,0.0666011820708503,90.0,0.05118127020097063,108.0,99.0
EState_VSA7,0.06625611663941822,93.0,0.056969252581505536,105.0,99.0
AATS5Z,0.04698433429149773,113.0,0.06766715737601281,88.0,100.5
AATSC0v,0.055968249140394555,102.0,0.05821844844147872,103.0,102.5
AATS3Z,0.04924087885632389,107.0,0.05845142892431898,100.0,103.5
SMR_VSA3,0.05628927824995511,101.0,0.05550021562518204,107.0,104.0
BCUTs-1l,0.05463930311244791,103.0,0.04980182441720782,109.0,106.0
GATS1dv,0.04510374970502884,114.0,0.05858154715292763,99.0,106.5
nHRing,0.04364569923708572,119.0,0.06400175980745804,94.0,106.5
GGI1,0.05005422413617033,106.0,0.04925953805085559,110.0,108.0
nBase,0.051406865492611864,104.0,0.04542787781422786,114.0,109.0
ATS6se,0.0394180755867195,131.0,0.06588368935160016,92.0,111.5
naHRing,0.043832108574985096,118.0,0.056751861788619795,106.0,112.0
n9FRing,0.04495980449417636,115.0,0.046786194007999216,113.0,114.0
EState_VSA3,0.04310925715863423,120.0,0.04908226867050125,111.0,115.5
ATSC0m,0.04425737995271817,116.0,0.04440409715132443,116.0,116.0
n10FRing,0.0470896381431225,112.0,0.042668212395606586,120.0,116.0
AATS8m,0.04836563027348717,108.0,0.040962519223272764,125.0,116.5
GATS2dv,0.044253708870097164,117.0,0.04373661772117465,117.0,117.0
RNCG,0.041835180034952124,125.0,0.04722459026641168,112.0,118.5
ATSC1i,0.04818308266755267,109.0,0.03953118086080476,133.0,121.0
JGI9,0.04794837526370532,110.0,0.039786031651814824,132.0,121.0
ETA_epsilon_5,0.042611486484449124,121.0,0.041117727225074674,123.0,122.0
AATS6Z,0.03944559378973267,130.0,0.04538045202162344,115.0,122.5
BCUTc-1l,0.05112435667828752,105.0,0.036445665499656776,141.0,123.0
SlogP_VSA3,0.04721499856327682,111.0,0.037507037332678905,139.0,125.0
GATS1se,0.04220725523350666,124.0,0.040445654222565075,127.0,125.5
VR2_A,0.04104975984608039,129.0,0.042534285668605065,122.0,125.5
EState_VSA5,0.03918245743946658,132.0,0.04097614311214759,124.0,128.0
GATS1are,0.041298591756283365,128.0,0.04033195824200497,128.0,128.0
EState_VSA8,0.03765823372251731,136.0,0.04257457134413123,121.0,128.5
BCUTp-1l,0.03893132834588542,133.0,0.04094595075634366,126.0,129.5
AATS7Z,0.04153160897933805,127.0,0.03839807962999675,137.0,132.0
MIC0,0.03876086044298166,134.0,0.039817693597101744,131.0,132.5
ZMIC5,0.03166008754543359,147.0,0.04329697467630744,118.0,132.5
ATSC3d,0.04224275307430059,123.0,0.03449903886124872,144.0,133.5
RPCG,0.031396663364493094,149.0,0.04278453854789532,119.0,134.0
ETA_shape_x,0.04176394975497466,126.0,0.03523267837327726,143.0,134.5
VSA_EState3,0.034765913035066376,140.0,0.040097338807994376,130.0,135.0
BCUTd-1l,0.037234900669293136,137.0,0.0388138514338503,136.0,136.5
n9FaRing,0.03633851974425384,138.0,0.03901460562232684,135.0,136.5
ATS5se,0.03240238440869714,146.0,0.040260897947263175,129.0,137.5
NaaNH,0.033465355407969355,143.0,0.039118941461163015,134.0,138.5
AATS7i,0.042591137235652,122.0,0.030215794209158986,159.0,140.5
JGI7,0.032870023875577914,144.0,0.038029664234497496,138.0,141.0
GATS2are,0.034353431083693486,141.0,0.03311116779253798,148.0,144.5
ETA_dEpsilon_A,0.03621108512210558,139.0,0.03269203806711474,151.0,145.0
JGI3,0.03142983668355992,148.0,0.035353580257751815,142.0,145.0
AATS6i,0.038081021563898254,135.0,0.031214735916575975,157.0,146.0
TopoShapeIndex,0.03373931567348931,142.0,0.03129352675369601,156.0,149.0
TopoPSA,0.032647623841447704,145.0,0.032157278059993466,154.0,149.5
SM1_Dzi,0.026513163658856698,160.0,0.037465464195808096,140.0,150.0
SM1_Dzpe,0.027153394981594303,159.0,0.034486176491330234,145.0,152.0
SlogP_VSA1,0.027815826614923544,155.0,0.03288496152949749,150.0,152.5
SlogP_VSA4,0.030952623553346825,152.0,0.0323549003845125,153.0,152.5
MINaasC,0.03114010814479684,151.0,0.03194949870352559,155.0,153.0
ATSC1dv,0.026366939508164045,161.0,0.03310803313449817,149.0,155.0
GATS2p,0.028048517898126235,154.0,0.030675451667305786,158.0,156.0
n10FaHRing,0.028690631939966904,153.0,0.027891393724699398,164.0,158.5
PEOE_VSA4,0.02755175850533398,157.0,0.0290343189185287,161.0,159.0
JGI5,0.022510345318284664,174.0,0.03343056165546532,147.0,160.5
EState_VSA6,0.020774203764755583,178.0,0.03402984904337014,146.0,162.0
CIC3,0.03126655312193183,150.0,0.0221729494127203,177.0,163.5
GATS3m,0.02748168626200531,158.0,0.02478864970935568,170.0,164.0
SMR_VSA1,0.025490628191266573,163.0,0.02780652993936039,165.0,164.0
AATS2s,0.02763967488358343,156.0,0.024285235792961934,174.0,165.0
n5aRing,0.024464095272440867,168.0,0.02893920327411803,162.0,165.0
GATS1s,0.02451567477341765,166.0,0.027290066772475363,166.0,166.0
SMR_VSA5,0.026174602462252672,162.0,0.024726409243479353,171.0,166.5
GATS2i,0.02266816378633507,173.0,0.028153915667695983,163.0,168.0
NssCH2,0.025216854417449586,165.0,0.024592346705293977,172.0,168.5
n6aHRing,0.02369154719016331,170.0,0.025873978937243525,167.0,168.5
ATSC4dv,0.023526101247244746,171.0,0.02504220475791108,169.0,170.0
ATSC8d,0.020148923335623792,181.0,0.029699910018375242,160.0,170.5
ATSC4d,0.018157746612760484,190.0,0.03236696702649766,152.0,171.0
GATS8d,0.02129755239245945,176.0,0.025327769689377,168.0,172.0
Xc-4dv,0.025378495251252797,164.0,0.020574445690811682,182.0,173.0
PEOE_VSA3,0.024488781294427664,167.0,0.019947330586034262,184.0,175.5
n6HRing,0.020405992203550216,179.0,0.02451702693138902,173.0,176.0
nFAHRing,0.02146080410446327,175.0,0.021587042876272555,178.0,176.5
EState_VSA1,0.023925298337580614,169.0,0.019695753156040663,186.0,177.5
