removed_descriptor
SpAbs_Dzv
VR3_Dzm
VR3_DzZ
VR1_Dzm
VE3_Dzm
VE2_Dzm
VE1_Dzm
SM1_Dzm
LogEE_Dzm
SpMAD_Dzm
SpAD_Dzm
SpDiam_Dzm
SpMax_Dzm
SpAbs_Dzm
VR2_Dzm
Xp-5d
Xp-4d
Xp-3d
Xp-2d
Xp-1d
Xp-0d
Xpc-5dv
Xpc-5d
LogEE_Dzp
Xc-3d
AXp-5dv
AXp-4dv
AXp-3dv
AXp-1dv
Xp-6dv
Xp-5dv
Xp-4dv
Xp-3dv
Xp-6d
Xp-1dv
Xp-0dv
AXp-0d
Xp-7d
nBondsO
nBonds
BertzCT
VR3_Dzi
VR2_Dzi
VR1_Dzi
VE3_Dzi
VE2_Dzi
VE1_Dzi
LogEE_Dzi
SpAD_Dzi
SpDiam_Dzi
SpMax_Dzi
SpAbs_Dzi
VR3_Dzp
VR2_Dzp
VR1_Dzp
VE3_Dzp
VE2_Dzp
VE1_Dzp
SM1_Dzp
SpMAD_Dzi
Xch-3dv
Xch-4d
Xch-3d
FCSP3
HybRatio
nBondsS
nBondsKD
nBondsKS
nBondsM
nBondsA
nBondsT
nBondsD
MATS1se
MATS7v
MATS6v
MATS5v
MATS4v
MATS3v
MATS2v
MATS1v
BCUTv-1l
MATS2m
MATS1m
MATS7Z
MATS5Z
MATS4Z
MATS3Z
MATS2Z
MATS6m
MATS6p
MATS5p
MATS4p
MATS3p
MATS2p
MATS1p
MATS3are
MATS4se
MATS1are
MATS7pe
MATS6pe
MATS5pe
MATS4pe
MATS3pe
MATS2pe
MATS1pe
MATS7se
MATS6se
MATS5se
MATS2are
AATSC4i
AATSC3i
AATSC2i
AATSC1i
AATSC6p
AATSC5p
AATSC4p
AATSC3p
AATSC2p
MATS1Z
AATSC7are
AATSC6are
AATSC5are
AATSC4are
AATSC3are
AATSC2are
AATSC1are
AATSC0are
AATSC7pe
AATSC6pe
AATSC1p
MATS7d
MATS6d
MATS5d
MATS4d
AATSC5i
MATS2d
MATS7dv
MATS6dv
MATS5dv
MATS4dv
MATS3dv
MATS2dv
AATSC7i
AATSC6i
MATS3d
GATS7pe
GATS6pe
GATS5pe
MATS7p
GATS3pe
GATS2pe
GATS1pe
GATS7se
GATS6se
GATS5se
GATS4se
GATS3se
GATS2se
GATS7v
GATS4pe
BCUTv-1h
BCUTZ-1l
BCUTZ-1h
BCUTdv-1h
GATS6v
MATS7i
MATS6i
MATS5i
MATS4i
MATS3i
MATS2i
MATS1i
GATS5v
GATS4v
GATS3v
GATS1v
GATS7Z
GATS6Z
GATS5Z
GATS4Z
GATS3Z
GATS2Z
GATS1m
